time,flux
193.79517013756413,556933.25
193.81560389542574,556937.25
193.836037753048,556968.625
193.85647151044395,556999.5625
193.8769051676063,557040.375
193.8973389245366,556977.5625
193.91777278146037,557027.3125
193.93820643792424,557003.4375
193.9586401943816,556964.5
193.97907405061414,556970.5625
193.99950770661235,557014.9375
194.01994146237485,557079.3338031091
194.04037521813734,556977.25
194.06080897343782,556926.0625
194.081242728731,557021.75
194.10167648356583,556996.8125
194.12211023840064,557007.25
194.14254399300262,556944.5625
194.1629777473645,556971.0
194.18341140173288,556975.125
194.20384525562986,556971.125
194.22427900953335,556919.4375
194.24471266297041,556914.375
194.26514651640173,556955.125
194.28558026960673,556998.9375
194.3060140225789,556954.6875
194.32644767554302,556990.25
194.3468815280503,556917.4375
194.3673152805568,556905.1875
194.38774893259688,556888.5625
194.4081827846312,556853.6875
194.42861653643922,556957.75
194.44905018800637,556974.25
194.46948393958155,556976.1875
194.48991779069183,556997.5
194.51035144156776,556990.0
194.53078519243718,556988.625
194.5512190430818,556997.875
194.5716526934848,556978.5625
194.592086443663,556995.4375
194.61252019360836,556985.125
194.63295394355373,556968.6875
194.65338769302616,556995.8125
194.67382144250587,557022.8125
194.6942552915134,556937.25
194.71468894052668,556959.5625
194.7351226893079,557012.3125
194.75555633808835,557001.0625
194.7759901863974,556996.8125
194.79642393448012,556983.4375
194.81685768255556,556954.125
194.83729143040546,556921.25
194.85772517802252,556978.5
194.87815892540675,556917.25
194.89859257255011,556955.625
194.91902641946945,556962.6875
194.9394601661479,557083.3125
194.9598938128329,557000.5
194.98032765928656,557017.9375
195.00076140550664,556979.5625
195.02119505125302,556966.5
195.04162879724026,556959.375
195.06206264275534,556985.5625
195.08249628804333,556958.3125
195.1029300333321,556951.875
195.12336387815594,557005.375
195.14379762297176,557010.375
195.16423126756126,556979.875
195.1846650119187,557006.75
195.20509885603678,556895.1875
195.22553250016063,556846.375
195.24596624381957,556849.3125
195.266400087472,556899.875
195.2868337306645,557017.8125
195.3072674738578,557014.1875
195.32770121681096,557007.25
195.34813495977141,556982.9375
195.3685687022662,556974.25
195.38900244452088,556954.75
195.4094362867836,557009.8125
195.42986992857914,556994.75
195.45030367036816,556927.5625
195.47073731193086,556975.4375
195.49117115326226,557009.625
195.51160489458562,557035.125
195.53203853544983,557041.0
195.55247237608273,557027.375
195.5729061167076,557020.25
195.5933398571069,556925.375
195.61377349727263,556976.5625
195.63420733719977,556979.4375
195.6546410769006,556973.125
195.67507471636782,557023.625
195.6955085558293,557038.625
195.71594229483162,556997.875
195.7363759338332,556967.4375
195.7568096725954,557046.5625
195.77724351113284,557029.3125
195.7976771494359,556992.5625
195.81811088749964,557019.0
195.83854472533858,556968.75
195.858978363176,556944.1875
195.87941210077406,557032.0625
195.89984583791374,557022.0625
195.9202796750542,557068.4375
195.940713311953,556963.8125
195.96114704862703,556977.1875
195.98158078530105,556993.75
196.00201452150213,557022.6875
196.0224482577105,556919.0625
196.04288189345243,556915.5
196.06331572918862,556950.9375
196.08374936469772,556964.75
196.10418319997552,557023.5
196.12461693524529,557027.125
196.14505067005666,557079.9375
196.16548430486728,557016.125
196.18591803920572,557050.0625
196.2063518735522,557024.375
196.22678560766508,557039.8125
196.2472192415371,556996.375
196.26765307518508,557044.4375
196.2880867085987,557024.5
196.30852044200583,556976.5
196.32895417495456,556986.375
196.3493879079033,557044.9375
196.36982164061192,556980.875
196.390255373095,557033.5625
196.41068910534523,557010.6875
196.43112283735536,557080.125
196.45155656913994,557029.875
196.47199020092376,557023.8125
196.49242403223616,556969.9375
196.51285776355508,557061.3125
196.53329149464116,557017.8125
196.55372522548714,557021.5
196.57415895610757,557015.0625
196.5945925864944,557017.9375
196.615026316882,556984.4375
196.6354601467974,557022.5625
196.65589387671935,557044.1875
196.6763275064004,556974.0625
196.69676133585745,557030.25
196.7171950650809,557015.5
196.73762869407074,557019.6875
196.75806242282124,557067.25
196.77849625157978,556980.875
196.79892987986386,556994.875
196.81936360815598,557036.25
196.83979743621603,557038.4375
196.86023106404173,556992.0625
196.88066479162808,556932.75
196.90109851898887,556906.875
196.92153234611033,556950.125
196.94196597323753,557046.375
196.96239969989983,556994.5625
196.98283352655562,557009.9375
197.0032672028683,556961.8044278647
197.02370087918098,557060.5
197.04413450514403,557044.6875
197.0645683308685,557059.3125
197.08500205659948,557035.375
197.10543568186404,557031.125
197.12586950712284,556998.25
197.14630323215533,557019.9375
197.16673695694772,557051.75
197.18717058151378,557035.0625
197.20760440584854,557084.9375
197.2280381299497,556997.125
197.24847175404284,557039.875
197.2689055776791,557019.75
197.28933930130734,557051.9375
197.30977292470925,557038.9375
197.33020664764626,557002.6875
197.35064047081687,557014.5625
197.37107409351302,557047.375
197.39150781598437,557063.3125
197.41194163821638,557037.9375
197.4323753604549,557067.8125
197.45280898245983,557088.5
197.4732427042327,557025.0
197.4936765257662,557040.625
197.51411014707264,557028.375
197.53454386813974,556976.1875
197.55497768898204,557056.25
197.5754113098228,557013.3125
197.5958450301987,556988.875
197.6162787505673,557005.5625
197.63671247071034,556975.3125
197.65714619061328,557003.3125
197.67757991029066,557041.5
197.69801362973521,556988.3125
197.71844734894694,556906.0625
197.7388810681514,556916.625
197.7593146868967,556944.625
197.77974850563623,557030.5625
197.80018222414947,557049.8125
197.8206158424291,557009.3125
197.84104966047744,557087.5625
197.8614833782849,557092.3125
197.88191709609964,557049.0625
197.90235071344796,557022.0
197.92278453079052,557021.1875
197.94321824790677,557039.1875
197.9636518645566,557016.875
197.9840855811999,557021.375
198.00451939785125,557052.125
198.02495301403542,557059.6875
198.04538677998426,556990.8346942305
198.0658205459331,557096.6875
198.08625416141876,557007.5625
198.10668787689792,557039.25
198.12712159215152,557049.0
198.1475553071723,557014.625
